index,type,name,resident,streamed,parentStack
75,xmodelmesh,p7_sandbag_stack_32_right_lod2757e29da,352,5888,|p7_sandbag_short_right|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
76,xmodelmesh,p7_sandbag_stack_32_left_lod2c19f5db7,352,5504,|p7_sandbag_stack_32_left|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
77,xmodelmesh,p7_sandbag_stack_32_middle_vista_lod0f6f16c71,1200,0,|p7_sandbag_stack_32_middle_vista|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
78,xmodelmesh,p7_sandbag_stack_44_middle_lod42e484f85,1584,0,|p7_sandbag_stack_44_middle|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
79,xmodelmesh,p7_sandbag_stack_44_end_lod265a2e1b7,352,5712,|p7_sandbag_stack_44_end|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
80,xmodelmesh,p7_eth_foliage_grass_tall_lod23a8fc380,1408,0,|p7_eth_foliage_grass_tall_wild|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
81,xmodelmesh,p7_debris_junkyard_scrap_bit_02_lod0bd2c9561,1168,0,|p7_debris_junkyard_scrap_bit_02|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
82,xmodelmesh,p7_eth_rock_medium_01_lod0d1a24e4d,1488,0,|p7_biodome_rock_medium_01|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
83,xmodelmesh,p7_anim_zm_barricade_board_01_lod08c31ae6e,1584,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
84,xmodelmesh,p7_anim_zm_barricade_board_02_lod0491df694,1936,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
85,xmodelmesh,p7_anim_zm_barricade_board_03_lod017d3dfbc,1840,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
86,xmodelmesh,p7_anim_zm_barricade_board_04_lod0fcb92db7,1456,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
87,xmodelmesh,p7_anim_zm_barricade_board_05_lod0c7707369,1680,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
88,xmodelmesh,p7_anim_zm_barricade_board_06_lod08f8bba21,1872,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
89,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rarmspawn_lod08fd8a2fc,1344,0,|c_zom_zod_zombie_fem_body1_g_rarmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
90,xmodelmesh,c_zom_zod_zombie_fem_body1_g_rlegspawn_lod03da2116b,1392,0,|c_zom_zod_zombie_fem_body1_g_rlegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
91,xmodelmesh,c_zom_zod_zombie_fem_body1_g_larmspawn_lod0f35667dd,1168,0,|c_zom_zod_zombie_fem_body1_g_larmspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
92,xmodelmesh,c_zom_zod_zombie_fem_body1_g_llegspawn_lod034c88b59,1360,0,|c_zom_zod_zombie_fem_body1_g_llegspawn|xmodel|c_zom_der_zombie_gib_def|scriptbundle|c_zom_der_zombie2_nohat|character|spawner_zm_factory_zombie|aitype|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
93,xmodelmesh,p7_desk_metal_old_01_body_lod578010f34,2928,0,|p7_desk_metal_old_01_body_rusty|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
94,xmodelmesh,p7_aqu_solar_array_long_handrails_cheap_0346a9ebc3,1248,0,|p7_aqu_solar_array_long_handrails_cheap_03|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
95,xmodelmesh,p7_zm_vending_packapunch_lod0e27f6c62,1360,9744,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
96,xmodelmesh,p7_zm_der2_vending_packapunch_sign_wait_lod012e8b576,2064,0,|p7_zm_der2_vending_packapunch_sign_wait|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
97,xmodelmesh,p7_zm_der_pswitch_handle_lod09e863e5e,1456,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
98,xmodelmesh,p7_cart_janitor_plastic_lod434c10278,240,6816,|p7_cart_janitor_plastic|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
99,xmodelmesh,p7_cai_cart_vendor_metal_base_lod7db9c9d23,576,4880,|p7_cai_cart_vendor_metal_base|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
100,xmodelmesh,p7_laundry_cart_01_lod0b06ac572,2656,0,|p7_laundry_cart_01|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
101,xmodelmesh,p7_3d_printer_safehouse_01_box_dmg_lod02ff7a90e,1360,20528,|p7_3d_printer_safehouse_01_box_dmg|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
102,xmodelmesh,p7_barricade_concrete_modular_01_lod0f11a9819,1760,0,|p7_barricade_concrete_modular_01|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
103,xmodelmesh,p7_monitor_wall_safehouse_01_flat_lod045ef3899,1648,0,|p7_monitor_wall_safehouse_01_flat_nrc_desktop|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
104,xmodelmesh,p7_sin_trashcan_wood_lod08631d444,1024,5952,|p7_sin_trashcan_wood|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
105,xmodelmesh,p7_sofa_leather_3seater_clean_lod581fcc7a9,3936,0,|p7_sofa_leather_3seater_dirty|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
106,xmodelmesh,p7_anim_sin_bar_room_door_lt_lod07ba2424f,2352,0,|p7_anim_sin_bar_room_door|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
107,xmodelmesh,p7_fence_metal_corrugated_framed_bent_white_lod589963c54,2800,0,|p7_fence_metal_corrugated_framed_bent_white|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
108,xmodelmesh,p7_desk_metal_military_03_lod5baee90a2,800,8656,|p7_desk_metal_military_03|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
109,xmodelmesh,p7_cai_chair_lounge_greek_lod635d56cd1,352,6112,|p7_cai_chair_lounge_greek|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
110,xmodelmesh,p7_coffee_table_modern_lod2cca5e745,576,4560,|p7_coffee_table_modern|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
111,xmodelmesh,p7_chair_waiting_room_01_lod070f0d49a,2640,0,|p7_chair_waiting_room_01_blue|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
112,xmodelmesh,veh_t7_turret_sentry_gun_lod24f047510,1536,80272,|veh_t7_turret_sentry_gun_world|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
113,xmodelmesh,p7_zm_der_pswitch_body_lod05296e5de,4224,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
114,xmodelmesh,p7_construction_hardhat_lod4f16e2aeb,2480,0,|p7_construction_hardhat|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
115,xmodelmesh,p7_pallet_truck_lod5b3145002,336,5568,|p7_pallet_truck_dirty|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
116,xmodelmesh,p7_hand_truck_horizontal_lod5ce9012fc,240,4608,|p7_hand_truck_horizontal|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
117,xmodelmesh,veh_t7_civ_truck_med_attch_util_topattach01_lod0c0dcaea7,3888,0,|veh_t7_civ_truck_med_attch_util_topattach01_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
118,xmodelmesh,veh_t7_civ_truck_med_attch_boom_lod180a2facb,768,22048,|veh_t7_civ_truck_med_attch_boom_sing|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
119,xmodelmesh,veh_t7_civ_truck_med_wheel_back_util_attach_lod17afa643e,480,7824,|veh_t7_civ_truck_med_wheel_back_util_attch_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
120,xmodelmesh,veh_t7_civ_truck_med_wheel_front_util_attach_lod133cd0427,480,6096,|veh_t7_civ_truck_med_wheel_front_util_attch_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
121,xmodelmesh,veh_t7_civ_truck_med_base_util_lod16278cf05,3488,580224,|veh_t7_civ_truck_med_utility1_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
122,xmodelmesh,veh_t7_civ_truck_med_base_util_lod15e5482b1,2608,63632,|veh_t7_civ_truck_med_utility2_sing|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
123,xmodelmesh,veh_t7_civ_truck_med_attch_util_bumper01_lod07e82e2bf,3424,0,|veh_t7_civ_truck_med_attch_util_bumper01_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
124,xmodelmesh,veh_t7_civ_truck_med_attch_util_topattach02_lod0bb46d6ea,368,4768,|veh_t7_civ_truck_med_attch_util_topattach02_sing_aband|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
125,xmodelmesh,p7_cart_utility_electric_01_body_lod690fcbc33,352,17776,|p7_cart_utility_electric_02|xmodel|maps/zm/zm_school.d3dbsp|col_map|zone_source/zm_school.zone|csv
126,xmodelmesh,p7_toilet_bathroom_lod026e20617,224,4976,|p7_toilet_bathroom|xmodel|maps/zm/zm_school.d3dbsp|gfx_map|zone_source/zm_school.zone|csv
